id,name,ingredients,method,description,prep_time_mins,cook_time_mins,total_time_mins,difficulty,category,cuisine,tags,notes,image_url
1,Creamy Chicken Noodle Casserole,"3,cup(s),Cooked Chicken;225,g,Egg Noodles;300,g,Cream Of Chicken Soup;300,g,Cream Of Mushroom Soup;1,cup(s),Sour Cream;0.5,cup(s),Milk;1.5,cup(s),Cheddar;,,Salt;,,Black Pepper;,,Parsley;,,Onion","Preheat oven to 180°C || Cook egg noodles according to package instructions and drain || In a large bowl, combine chicken, noodles, cream of chicken soup, cream of mushroom soup, sour cream and milk || Stir in half of the cheese and season with salt and pepper || Spoon mixture into a greased baking dish || Sprinkle remaining cheese over the top || Bake 30–40 minutes until bubbling and golden on top","A creamy, cheesy casserole packed with tender chicken and egg noodles. Easy and family-friendly.","",30,"",easy,main,South African,"casserole,comfort,chicken,baked,cheesy,family-friendly,one-dish",Servings and prep time not specified in source; cook_time_mins set to lower bound of stated 30–40 minutes.,chicken_noodle.png
2,Baked Cream Cheese Beef Spaghetti,"500,g,Spaghetti;500,g,Beef Mince;1,bottle,Spaghetti Sauce;250,g,Cream Cheese;1,clove,Garlic;1,teaspoon,Italian Herbs;,,Garlic Salt;125,ml,Parmesan;125,ml,Mozzarella","Preheat oven to 180°C and lightly grease an ovenproof dish || Cook spaghetti in lightly salted water until just tender (~12 minutes); drain || Meanwhile brown the mince over medium-high heat 5–7 minutes and drain excess fat || Stir spaghetti sauce into the mince and simmer briefly || Place hot spaghetti in a large bowl; add cream cheese, garlic, Italian herbs and garlic salt; mix until cream cheese melts and coats the pasta || Spoon a thin layer of meat sauce into the bottom of the prepared dish || Top with the spaghetti and cover with remaining meat sauce || Sprinkle Parmesan and mozzarella over the top || Bake ~30 minutes until bubbling and golden","Comforting baked spaghetti tossed with cream cheese and a meaty tomato sauce, topped with Parmesan and mozzarella.","",30,"",medium,main,South African,"baked,pasta,beef,comfort,family-friendly,one-dish",Add mushrooms or spinach to the meat sauce for extra veg; serve with green salad and garlic bread.,spaghetti.png
3,Pineapple Chicken,"1.5,cup(s),Pineapple Juice;900-1000,g,Chicken Thighs;3,clove(s),Garlic;1,teaspoon,Paprika;1,teaspoon,Black Pepper;1,teaspoon,Salt;0.5,cup(s),Water;5,tablespoon,Soy Sauce;1,tablespoon,Mustard;1,tablespoon,Tomato Sauce;1,tablespoon,Honey","Place chicken thighs in a pot with pineapple juice and cook until most of the liquid has evaporated || When chicken begins to brown, add garlic, paprika, black pepper, salt, water and soy sauce and mix well || Cover and cook about 15 minutes, stirring occasionally || When chicken is browned and cooked through, stir in mustard, tomato sauce and honey and combine until glossy || Serve over rice, mashed potatoes or on its own",Sweet-savory pineapple chicken thighs cooked in a sticky pineapple-soy glaze.,"","","",easy,main,Fusion,"sweet-savory,chicken,stovetop,easy,family-friendly",Recipe cooks until liquid reduces then finishes with a sticky glaze.,pineapple_chicken.png
4,Baked Mozzarella Stuffed Meatballs,"225,g,Pork Mince;450,g,Beef Mince;1,cup(s),Breadcrumbs;1,cup(s),Grated Mozzarella;0.25,cup(s),Grated Parmesan;1,whole,Egg;2,clove(s),Garlic;5,ml,Italian Seasoning;,,Salt;,,Black Pepper;1,bottle,Marinara Sauce;,,Basil","Preheat oven to 200°C || In a large bowl combine pork, beef, breadcrumbs, mozzarella, Parmesan, egg, garlic, Italian seasoning, salt and pepper; mix well || Scoop about 1 tbsp of mixture, flatten in your hand, place a small cube of mozzarella in the centre, wrap meat around it and roll into a ball || Place meatballs on a lined baking sheet || Bake 20–25 minutes until golden and cooked through || Meanwhile heat marinara sauce gently in a saucepan || Add cooked meatballs to sauce and simmer a few minutes so flavours meld || Serve warm garnished with basil","Juicy beef-and-pork meatballs stuffed with mozzarella, baked and simmered briefly in marinara sauce.","",25,25,medium,main,Italian,"meatballs,baked,cheesy,comfort,freezer-friendly","Can add chilli flakes for heat; freezes well before or after baking; serve with pasta, rice or in a sandwich.",meatballs.png
5,Steak Fajita Stir Fry,"900,g,Steak;1,each,Red Bell Pepper;1,each, Bell Pepper;1,each,Onion;3,tablespoon,Olive Oil;1,tablespoon,Lime Juice;0.5,teaspoon,Chili Powder;1,teaspoon,Cumin;,,Cayenne Pepper;0.5,teaspoon,Coarse Salt;0.5,teaspoon,Black Pepper;2,clove(s),Garlic;6-8,each,Tortillas;,,Guacamole;,,Sour Cream;,,Salsa;,,Coriander;,,Cheese","Place meat strips in a sealable bag; place sliced peppers and onions in a separate bag || Whisk together olive oil, lime juice, chili powder, cumin, cayenne, salt, pepper and garlic || Pour 1/3 of the marinade over the meat, 1/3 over the vegetables and reserve the remaining 1/3 for later || Seal bags and chill 1 hour to overnight || Heat a large pan over medium-high heat and stir-fry the vegetables about 5 minutes until just tender-crisp; remove and keep warm || In the same pan, cook the meat 7–10 minutes until browned and cooked through || Return vegetables to the pan, add remaining marinade and heat 1–2 minutes || Serve warm in tortillas with desired toppings","Quick marinated steak fajita-style stir-fry with peppers and onions, served in warm tortillas.",60,10,"",medium,main,Tex-Mex,"stir-fry,fajitas,beef,tortillas,marinated",Marinate 1 hour to overnight for best flavour.,stirfry.png
6,Cheesy Garlic Chicken Wraps,"500,g,Cooked Chicken Breast;250,ml,Mozzarella;125,ml,Cheddar;4,each,Flour Wraps;30,ml,Butter (melted);2,clove(s),Garlic (minced);60,ml,Mayonnaise;15,ml,Sour Cream;2.5,ml,Garlic Powder;2.5,ml,Onion Powder;1.25,ml,Paprika;15,ml,Parsley;,,Salt;,,Black Pepper","Mix mayonnaise, sour cream, garlic powder, onion powder, paprika, salt and pepper || Add chicken and mix until well coated || Place a wrap flat and sprinkle mozzarella and cheddar down the centre || Spoon chicken mixture on top, fold sides and roll tightly || Mix melted butter and minced garlic and brush the outside of the wraps || Grill in a pan 2–3 minutes per side until golden and cheese is melted || Garnish with parsley and serve","Quick cheesy garlic chicken wraps — crisp outside, cheesy inside.",10,10,20,easy,lunch,International,"wraps,quick,lunch,cheesy,grill",Approx. 460 kcal per wrap (estimate).,chicken_wrap.png
7,Braised Lamb Shanks,"4,each,Lamb Shanks;2,tablespoon,Olive Oil;2,each,Onions (large, sliced);6,clove(s),Garlic;3,each,Carrots;2,cup(s),Beef Stock;1,cup(s),Red Wine (optional);3,tablespoon,Tomato Paste;2,tablespoon,Honey;2,sprig,Rosemary;4,sprig,Thyme;2,leaf,Bay Leaves;,,Salt;,,Black Pepper","Preheat oven to 160°C || Season lamb shanks with salt and pepper || Heat olive oil in a large ovenproof pot and brown shanks on all sides; remove and set aside || In the same pot add onions, carrots and garlic and sauté 5–7 minutes until softened || Add beef stock, red wine, tomato paste, honey and herbs; bring to a gentle simmer || Return shanks to the pot, nestle into the braising liquid and cover || Transfer to oven and braise 2½–3 hours (up to 3½ hours for extra tenderness) until meat is very tender and starting to fall from the bone || Serve over creamy mash, polenta or rice and spoon extra sauce over the top; garnish with fresh herbs","Slow-braised lamb shanks in a rich red-wine and tomato braising liquid; fall-off-the-bone tender.","",150,150,medium,main,European,"braise,slow-cook,lamb,comfort,holiday","If not using red wine, substitute ½ cup apple cider vinegar + ½ cup extra stock; longer cook time yields more tender meat.",lamb_shanks.png
8,Smothered Pork Chops,"500,g,Pork Chops;0.5,tablespoon,Onion Powder;0.5,tablespoon,Garlic Powder;0.5,teaspoon,Cayenne Pepper;1,teaspoon,Seasoning Mix (or salt);0.5,teaspoon,Black Pepper;2,tablespoon,Olive Oil (for searing);0.5,cup(s),All-Purpose Flour;2,tablespoon,Olive Oil (for frying);1,tablespoon,Butter (for frying);1,tablespoon,Butter (for gravy);1,each,Onion (large, thinly sliced);,,Pinch Of Salt;4,clove(s),Garlic;1,teaspoon,Thyme;0.5,cup(s),Chicken Stock;0.75,cup(s),Buttermilk or Cream;,,Parsley (to garnish)","Pat pork chops dry and season with onion powder, garlic powder, cayenne, seasoning mix/salt and black pepper || Dredge chops in flour, shaking off excess and reserve remaining flour for the gravy || Heat 2 tbsp olive oil + 1 tbsp butter in a large pan and brown chops 3–4 minutes per side until golden; remove and keep warm || In the same pan add 1 tbsp butter, then sliced onions and a pinch of salt; cook until soft and caramelized (~10 minutes) || Add garlic and thyme for 30 seconds || Sprinkle 2 tbsp of the reserved flour over the onions and stir to form a roux || Gradually add chicken stock while stirring, scraping browned bits from the pan, and let thicken 1–2 minutes || Whisk in buttermilk or cream and simmer until creamy || Return chops to the pan, spoon gravy over them and simmer 5 minutes until pork is cooked through; thin gravy with extra stock or cream if needed || Garnish with parsley and serve",Crispy-seared bone-in pork chops finished in a rich onion gravy (smothered-style).,"","","",medium,main,Southern,"pork,gravy,comfort,stovetop","Reserve some dredging flour to thicken the gravy; serve with mashed potatoes, rice or roasted veg.",pork_chops.png
9,Indian Beef Curry,"600,g,Beef (cubed);2,each,Onion (or shallot),finely chopped;2,each,Tomato (large),chopped;2,tablespoon,Garlic (grated or paste);Handful,,Fresh Coriander (chopped);4-5,tablespoon,Oil or Ghee;1,teaspoon,Salt;2,cup(s),Warm Water;0.5,teaspoon,Chilli Flakes;0.5,teaspoon,Turmeric;0.5,teaspoon,Garam Masala;1,tablespoon,Ginger Paste;1,teaspoon,Oil (for marinade);1,teaspoon,Chilli Powder;0.5,teaspoon,Coriander Powder;1,each,Cinnamon Stick;2,each,Bay Leaves;1,teaspoon,Cumin Seeds","Marinate beef cubes with marinade spices (chilli flakes, turmeric, garam masala), ginger paste, 1 tsp oil and 1 tsp salt for 15 minutes || Heat oil in a pan, add cumin seeds, cinnamon stick and bay leaves and let sizzle to release aromas || Add chopped onions and cook until translucent || Add garlic and cook until light brown || Add chopped tomatoes and cook until soft || Add marinated beef and the ground spices (chilli powder, turmeric, coriander powder, garam masala) and sauté 1–2 minutes || Add warm water to just cover the beef, add salt to taste, reduce heat and simmer covered about 1 hour or until beef is tender (add water if needed) || When beef is tender, adjust seasoning and stir through fresh coriander before serving","A fragrant Indian-style beef curry simmered with whole spices, tomatoes and fresh coriander.","",60,"",medium,main,Indian,"curry,spicy,slow-simmer,stovetop",Simmer ~1 hour or until beef is tender; adjust water during cooking if needed; finish with fresh coriander.,beef_curry.png
10,Mac and Cheese with Beef,"250,ml,Tomato Sauce;250,ml,Basting Sauce;1,kg,Beef Mince;200,g,Crushed Biscuits;40,g,Onion Soup Mix (~40 g);2,whole,Eggs;5,ml,Salt;5,ml,Black Pepper;500,g,Macaroni;750,ml,Cheddar;500,ml,Milk;30,ml,Butter;30,ml,Flour;5,ml,Mustard Powder","Preheat oven to 180°C || Mix tomato sauce and basting sauce and reserve 125 ml for later || In a bowl combine mince, crushed biscuits, onion-soup mix, eggs, salt, pepper and remaining 125 ml of sauce; press mixture into a 23×33 cm oven dish || Spread reserved sauce over the meat layer || Bake meat layer 30 minutes || Meanwhile cook macaroni until just tender and drain || Make cheese sauce: melt butter, stir in flour and cook 1 minute, whisk in milk until thickened, stir in 500 ml of grated cheddar, season with salt, pepper and mustard powder || Mix macaroni into cheese sauce || Remove meat from oven, spoon mac-and-cheese over the meat layer and sprinkle remaining 250 ml cheddar on top || Return to oven 20–25 minutes until golden and bubbling || Let rest 10 minutes before slicing and serving",Layered casserole of seasoned beef base topped with macaroni in a cheesy sauce. Serves ~8.,"","",65,medium,main,South African,"casserole,mac-and-cheese,beef,baked,comfort",Serves approx. 8; total time ~65 minutes including resting.,mac_and_cheese.png
